Compound,Date,Negative,Neutral,Positive,Source Account,Text
0.0,2018-06-26 16:33:41+00:00,0.0,1.0,0.0,@BBC,"RT @bbcwritersroom: Tomorrow, Wednesday 27th June is #NationalWritingDay! @writeday

As part of the events we're running a live Twitter Q&amp;A…"
0.0,2018-06-26 16:00:15+00:00,0.0,1.0,0.0,@BBC,🍅 You can grow tomatoes in Iceland?!   https://t.co/ndmcf1SL8y
0.0,2018-06-26 14:52:03+00:00,0.0,1.0,0.0,@BBC,"RT @BBCWales: #ToProvideAllPeople: A star-studded film written by @OwenSheers to mark #NHS70.

Starring @MichaelSheen, @TeamEveMyles, @Pack…"
0.836,2018-06-26 14:32:33+00:00,0.0,0.683,0.317,@BBC,"RT @BBCRadio2: To celebrate the anniversary of 1988's second Summer of Love, @djgarydavies, @ZoeTheBall, and @MsAnaMatronic are heading to…"
0.6114,2018-06-26 13:12:16+00:00,0.0,0.818,0.182,@BBC,"RT @BBCR1: Happy Birthday, @ArianaGrande! 🎈✨

Here's a throwback to her offering some 10/10 relationship advice to callers on @R1Breakfast…"
0.0,2018-06-26 12:58:04+00:00,0.0,1.0,0.0,@BBC,"🚄😽🎀 Japan has unveiled a pink bullet train themed around the cartoon character #HelloKitty.
👉… https://t.co/uPA1cevSHt"
0.5267,2018-06-26 12:02:04+00:00,0.0,0.673,0.327,@BBC,"Activist
Poet
Director
Actor
Writer...

...and inspiration https://t.co/oOpo1fJV5K"
0.0,2018-06-26 11:02:03+00:00,0.0,1.0,0.0,@BBC,"🍕💐 Would you say 'I dough' to this pizza bouquet?
👉 https://t.co/HqnBOtPZlN https://t.co/BJqFMcpWKv"
0.0,2018-06-26 09:30:00+00:00,0.0,1.0,0.0,@BBC,"🌍♻️💥👊
What will your #PlasticsAction be? https://t.co/QQ1ZBgNyZN"
-0.2732,2018-06-26 08:00:16+00:00,0.139,0.861,0.0,@BBC,Turns out you're biased in all sorts of ways you may not realise. https://t.co/yZ0ziOfX2L
-0.7717,2018-06-26 07:26:08+00:00,0.295,0.705,0.0,@BBC,"Seabirds are starving to death on the remote Lord Howe Island, a crew filming for the @BBCOne documentary… https://t.co/XHDOBZn5Yb"
0.5994,2018-06-26 07:00:12+00:00,0.0,0.769,0.231,@BBC,💕 Julie is the childcare champion in the heart of the Gorbals. https://t.co/LcdEhzyTBG
0.5859,2018-06-25 18:03:04+00:00,0.0,0.696,0.304,@BBC,✨ These women are ditching their straighteners and embracing their natural hair. https://t.co/BTgEiHth2E
0.0,2018-06-25 17:31:08+00:00,0.0,1.0,0.0,@BBC,Two teams of junior doctors from teaching hospitals around Britain go head to head in a medical-themed quiz show. 🏥… https://t.co/1z99Ax1RcK
0.2732,2018-06-25 16:02:03+00:00,0.0,0.769,0.231,@BBC,"🙌😂 Well, that escalated quickly.
#HearHer #LiveAtTheApollo  https://t.co/4Bfa81zCSI"
-0.5524,2018-06-25 15:01:34+00:00,0.229,0.771,0.0,@BBC,RT @BBCTwo: SO much tension between Louis and the Queen! 😬👑🇫🇷 #Versailles https://t.co/mT2tDG3Hen
0.3182,2018-06-25 14:57:32+00:00,0.0,0.839,0.161,@BBC,RT @BBCTwo: brb just gonna pop inside for some fresh air... ☀️😰 https://t.co/rlTBirEDF2
0.5423,2018-06-25 13:48:41+00:00,0.0,0.842,0.158,@BBC,"RT @bbcarts: If you’re from the North this will make you well up with pride. ❤️
@lemnsissay delivers an impassioned reading of the poem he…"
0.636,2018-06-25 13:03:07+00:00,0.0,0.656,0.344,@BBC,"🐶😍 They're all beautiful in our eyes! 
#WorldsUgliestDog https://t.co/qrQgVqtwt4"
0.5719,2018-06-25 12:04:05+00:00,0.0,0.802,0.198,@BBC,🙌💪 @ChelseaClinton says it's time we rethink gender stereotypes and work harder to celebrate women. https://t.co/xgejAk33oK
0.34,2018-06-25 11:01:03+00:00,0.104,0.741,0.156,@BBC,"📖✨🌲 From the Forbidden Forest at Hogwarts to Pooh's Hundred Acre Wood, here are six magical forests we love from ch… https://t.co/hCU6am8R3o"
0.0,2018-06-25 10:12:49+00:00,0.0,1.0,0.0,@BBC,"🌋 Lava from Hawaii's Kilauea volcano creeps closer to more homes. 
 https://t.co/NfFXiwtVy7"
-0.4215,2018-06-25 08:03:05+00:00,0.128,0.872,0.0,@BBC,This headteacher is budgeting to buy hygiene products for pupils as she's found some parents are struggling to affo… https://t.co/Bm4PrQ8ucC
0.0,2018-06-25 07:26:06+00:00,0.0,1.0,0.0,@BBC,"🤖 What does it mean for AI to have a soul?
👉 https://t.co/OkxIzH9cA2 https://t.co/XcEYkoIbst"
-0.6486,2018-06-25 07:00:13+00:00,0.301,0.699,0.0,@BBC,Should we bring the woolly mammoth back from the dead? https://t.co/PASQyyoCXW
0.0,2018-06-24 19:03:02+00:00,0.0,1.0,0.0,@BBC,"Follow the inner workings of @nytimes, one of the most prolific American media outlets, during the first 12 months… https://t.co/sTcKSPw5QW"
-0.5574,2018-06-24 18:32:03+00:00,0.153,0.847,0.0,@BBC,🚗 🇸🇦 Women in Saudi Arabia are hitting the road as the country's ban on women driving officially ends. https://t.co/RLv1njCk5t
0.5994,2018-06-24 18:10:27+00:00,0.0,0.755,0.245,@BBC,"RT @BBCWthrWatchers: Beautiful ""night shining"" clouds, captured by our Weather Watchers #NoctilucentClouds https://t.co/FE9F3YQ3Kd"
-0.5267,2018-06-24 18:04:04+00:00,0.195,0.805,0.0,@BBC,"This. Will. Hurt.

@IdrisElba returns as the inimitable DCI #Luther. Coming soon to @BBCOne. https://t.co/AOmhtLjldy"
0.6705,2018-06-24 17:08:05+00:00,0.078,0.658,0.263,@BBC,"43% of female festival goers under 40 say they've faced unwanted sexual behaviour at a music festival, a new survey… https://t.co/Wd5gcaHCgH"
0.0,2018-06-24 16:02:06+00:00,0.106,0.787,0.106,@BBC,"Imagine waking up one morning and you've lost the ability to speak or move your hands.
(via @BBCThree) https://t.co/M8IJVGSoE7"
0.0,2018-06-24 15:18:03+00:00,0.0,1.0,0.0,@BBC,"In the aftermath of Hurricane Maria, Michelin-starred @chefjoseandres managed to feed more Puerto Ricans than any g… https://t.co/HHjrHbsIb8"
0.5859,2018-06-24 14:29:47+00:00,0.0,0.888,0.112,@BBC,"RT @BBCMOTD: #ENG win 6-1 ✅
On a Sunday ✅
In the Sun ✅

Live scenes across England right now ☀🎉

#ENGPAN https://t.co/pOqaVykdHG"
0.0,2018-06-24 14:20:08+00:00,0.0,1.0,0.0,@BBC,"❤️💍 Game of Thrones stars, Rose Leslie and Kit Harington have tied the knot at a ceremony in Aberdeenshire.
👉… https://t.co/VzvDpNHgRO"
-0.4215,2018-06-24 13:03:02+00:00,0.135,0.865,0.0,@BBC,"💔🦍 Koko the gorilla sadly passed away this week, aged 46.

This is the story of her life. https://t.co/rIRb7mHpJx"
